ID,Column Name,Justification (optional)
18293,,all null columns
18298,,all null columns
18310,,all null columns
18338,,all null columns
18339,,all null columns
18394,,all null columns
18426,,all null columns
18448,,all null columns
18530,,all null columns
18694,,all null columns
18717,,all null columns
18844,,all null columns
18933,,all null columns
19122,,all null columns
19148,,all null columns
19165,,all null columns
19213,,all null columns
19252,,all null columns
19312,,all null columns
19341,,all null columns
19359,,all null columns
19417,,all null columns
19468,,all null columns
19527,,all null columns
19534,,all null columns
19556,,all null columns
19592,,all null columns
19605,,all null columns
19623,,all null columns
19878,,all null columns
19896,,all null columns
19950,,all null columns
19952,,all null columns
20023,,all null columns
20076,,all null columns
20144,,all null columns
20165,,all null columns
20194,,all null columns
20214,,all null columns
20222,,all null columns
20277,,all null columns
20290,,all null columns
20334,,all null columns
20339,,all null columns
20388,,all null columns
20440,,all null columns
20511,,all null columns
20607,,all null columns
20629,,all null columns
20640,,all null columns
20646,,all null columns
20669,,all null columns
20811,,all null columns
20871,,all null columns
20931,,all null columns
21055,,all null columns
21099,,all null columns
21246,,all null columns
21261,,all null columns
21430,,all null columns
21479,,all null columns
21482,,all null columns
21523,,all null columns
21575,,all null columns
21593,,all null columns
21596,,all null columns
21626,,all null columns
21661,,all null columns
21686,,all null columns
21757,,all null columns
21783,,all null columns
21845,,all null columns
21943,,all null columns
21953,,all null columns
22015,,all null columns
22069,,all null columns
22074,,all null columns
22106,,all null columns
22185,,all null columns
22193,,all null columns
22197,,all null columns
22266,,all null columns
22284,,all null columns
22303,,all null columns
22371,,all null columns
22410,,all null columns
22431,,all null columns
22450,,all null columns
22468,,all null columns
22470,,all null columns
22527,,all null columns
22549,,all null columns
22595,,all null columns
22626,,all null columns
22643,,all null columns
22650,,all null columns
22766,,all null columns
22810,,all null columns
22825,,all null columns
22826,,all null columns
22863,,all null columns
22926,,all null columns
22932,,all null columns
22968,,all null columns
23100,,all null columns
23124,,all null columns
23140,,all null columns
23195,,all null columns
23238,,all null columns
23269,,all null columns
23344,,all null columns
23376,,all null columns
23409,,all null columns
23478,,all null columns
23494,,all null columns
23503,,all null columns
23520,,all null columns
23693,,all null columns
23741,,all null columns
23747,,all null columns
23765,,all null columns
23798,,all null columns
23831,,all null columns
23854,,all null columns
23858,,all null columns
23910,,all null columns
23955,,all null columns
23984,,all null columns
24061,,all null columns
24124,,all null columns
24188,,all null columns
24296,,all null columns
24448,,all null columns
24451,,all null columns
24491,,all null columns
24498,,all null columns
24571,,all null columns
24654,,all null columns
24699,,all null columns
24722,,all null columns
24744,,all null columns
24753,,all null columns
24775,,all null columns
24828,,all null columns
24940,,all null columns
24983,,all null columns
25109,,all null columns
25261,,all null columns
25265,,all null columns
25299,,all null columns
25371,,all null columns
25376,,all null columns
25405,,all null columns
25459,,all null columns
25554,,all null columns
25593,,all null columns
25651,,all null columns
25661,,all null columns
25804,,all null columns
25805,,all null columns
25848,,all null columns
25910,,all null columns
25939,,all null columns
25999,,all null columns
26029,,all null columns
26055,,all null columns
26102,,all null columns
26112,,all null columns
26137,,all null columns
26186,,all null columns
26252,,all null columns
26258,,all null columns
26330,,all null columns
26355,,all null columns
26431,,all null columns
26476,,all null columns
26533,,all null columns
26629,,all null columns
26649,,all null columns
26653,,all null columns
26680,,all null columns
26685,,all null columns
26705,,all null columns
26732,,all null columns
26759,,all null columns
26867,,all null columns
26884,,all null columns
26908,,all null columns
26925,,all null columns
26948,,all null columns
26981,,all null columns
27029,,all null columns
27064,,all null columns
27083,,all null columns
27112,,all null columns
27115,,all null columns
27129,,all null columns
27187,,all null columns
27236,,all null columns
27239,,all null columns
27247,,all null columns
27482,,all null columns
27554,,all null columns
27577,,all null columns
27650,,all null columns
27695,,all null columns
27699,,all null columns
27707,,all null columns
27711,,all null columns
27712,,all null columns
27736,,all null columns
27779,,all null columns
27847,,all null columns
27853,,all null columns
27876,,all null columns
27902,,all null columns
27904,,all null columns
27986,,all null columns
28083,,all null columns
28140,,all null columns
28194,,all null columns
28227,,all null columns
28295,,all null columns
28310,,all null columns
28407,,all null columns
28482,,all null columns
28582,,all null columns
28583,,all null columns
28609,,all null columns
28660,,all null columns
28726,,all null columns
28765,,all null columns
28791,,all null columns
28853,,all null columns
28894,,all null columns
28914,,all null columns
29140,,all null columns
29153,,all null columns
29208,,all null columns
29220,,all null columns
29231,,all null columns
29304,,all null columns
29380,,all null columns
29485,,all null columns
29508,,all null columns
29530,,all null columns
29600,,all null columns
